17/12/2023	10:18:56	9f19317b-19ce-4856-bec8-99d98456734c	GET,	undefined	/favicon.ico
17/12/2023	10:19:00	dbb6a744-5976-46bd-ba8b-ceda059d3789	GET,	undefined	/subdir
17/12/2023	10:19:07	b691b7a3-e4da-4bbc-b214-52da1d54a4df	GET,	undefined	/subdir/test
17/12/2023	10:19:59	4bc99088-1887-45a5-92a3-f724a4a571b2	GET,	undefined	/404
17/12/2023	10:19:59	1ac4ac37-5ae6-445c-8320-f6c5a80203e0	GET,	undefined	/css/style.css
17/12/2023	10:22:10	16441601-41b9-4585-8e34-0740d06d5dfc	GET,	undefined	/404
17/12/2023	10:22:10	c7bca224-b0f3-47c7-bcbc-68de6a23ac52	GET,	undefined	/css/style.css
17/12/2023	10:22:55	46471850-354a-4f93-89a0-238ae172c0b6	GET,	undefined	/404
17/12/2023	10:22:55	70c872f0-4292-4632-80ff-e52adbef8b1d	GET,	undefined	/css/style.css
17/12/2023	10:23:35	ed501864-600e-4a2c-b3f4-0c6515f3aaee	GET,	undefined	/404
17/12/2023	10:23:35	15d9cd61-caab-4647-b893-3add6c526994	GET,	undefined	/css/style.css
17/12/2023	10:23:55	6c989961-c1d5-4603-9036-58d7a8c70774	GET,	undefined	/404
17/12/2023	10:23:55	25cc49cf-f6d9-4ed4-83fa-521f06c92754	GET,	undefined	/css/style.css
17/12/2023	10:23:56	6ae1dcd2-ca84-4df8-a700-69e39be7c88e	GET,	undefined	/404
17/12/2023	10:23:56	87f20af1-0327-42b9-85e1-f5fdcd79cdd1	GET,	undefined	/css/style.css
17/12/2023	10:23:56	bf9f0608-cbb8-4ea2-a13e-fd5f2c5c2f6c	GET,	undefined	/404
17/12/2023	10:23:56	22231cd0-8b23-4f27-bc09-7cc6bba3dec0	GET,	undefined	/css/style.css
17/12/2023	10:23:56	459e4712-9e5c-4843-bcb7-4c8653c80fc9	GET,	undefined	/404
17/12/2023	10:23:56	d7db80c6-cea9-4960-91f5-5214ba4fe762	GET,	undefined	/css/style.css
17/12/2023	10:23:56	bc608d68-7f1a-44cd-85f2-6615f4a8da08	GET,	undefined	/404
17/12/2023	10:23:56	edd4f81d-d153-4156-9c29-fbaa64807d42	GET,	undefined	/css/style.css
17/12/2023	10:23:57	634bc11c-5a08-4ebc-afc7-e1537cc77c4f	GET,	undefined	/404
17/12/2023	10:23:57	c313ea9f-cfbe-4b1f-8181-ff26e1c9cbf2	GET,	undefined	/css/style.css
17/12/2023	10:23:57	7b2c24fc-5a6a-4583-8e71-70c2cfe6c39d	GET,	undefined	/404
17/12/2023	10:23:57	0cee832a-cce0-4354-8b11-7ac8e8262817	GET,	undefined	/css/style.css
17/12/2023	10:24:11	4586932d-3259-4da9-a1b9-67b9ba6fe03d	GET,	undefined	/404
17/12/2023	10:24:11	4deddca9-b0ad-4e43-9d58-85cb66dbc661	GET,	undefined	/css/style.css
17/12/2023	10:24:21	39bc023c-d7ef-439e-b4c5-4bc8a70dde47	GET,	undefined	/404
17/12/2023	10:24:21	ad57669e-d42f-463c-b1fa-e617c0920b04	GET,	undefined	/css/style.css
17/12/2023	10:24:34	0a4ad6b6-2679-42ed-bd57-bb83fdb7b5bb	GET,	undefined	/subdir/deneme
17/12/2023	10:24:34	fb9ad01f-622e-4165-b4cf-78bc018a490e	GET,	undefined	/css/style.css
17/12/2023	10:31:00	a6c79c85-db46-447e-873d-ceb3cf9c37eb	GET,	undefined	/subdir/deneme
17/12/2023	10:31:00	a36e75a8-99e1-4351-8325-94f033d8a639	GET,	undefined	/css/style.css
17/12/2023	10:31:02	1df26763-d6ea-42bf-9afe-87e97329a0d5	GET,	undefined	/subdir/test
17/12/2023	10:31:09	ba764a9d-eab3-4a3f-b802-65ea7b9e9689	GET,	undefined	/root
17/12/2023	10:31:09	a70fdbf9-4943-493f-a882-bab70c1f77bb	GET,	undefined	/css/style.css
17/12/2023	10:31:20	a523a5df-75e1-4b67-9b2d-a21e74f2074d	GET,	undefined	/subdir/root
17/12/2023	10:31:20	6e6a3727-9544-4a3d-b8d9-f66b9869a1fb	GET,	undefined	/css/style.css
17/12/2023	10:31:32	89718ded-71c8-4d22-bf0f-2ba0b0099714	GET,	undefined	/
17/12/2023	10:31:32	69d09511-d28d-4d76-8a5a-0f704719883c	GET,	undefined	/css/style.css
17/12/2023	10:31:37	fe15dce4-d19d-47ab-b156-a5f789214e30	GET,	undefined	/new-page.html
17/12/2023	10:31:37	bf8b96be-036e-44c5-8d5a-a201c08b3692	GET,	undefined	/css/style.css
17/12/2023	10:31:44	85732749-ddac-4bd5-9907-d4fa334fff58	GET,	undefined	/new-page.html
17/12/2023	10:31:44	5226f669-96e4-4b26-8692-00acc4a5ad41	GET,	undefined	/css/style.css
17/12/2023	10:31:49	d76c79ec-6a3b-48b7-9a6f-1648d9bbc7c0	GET,	undefined	/new-page
17/12/2023	10:31:49	e513fb1c-5918-474c-a512-18fadcf5106d	GET,	undefined	/css/style.css
17/12/2023	10:32:16	d9cc6cf9-d611-4e6a-ab20-19c366673624	GET,	undefined	/new-page
17/12/2023	10:32:16	5892a89a-3e65-4a51-87b0-60664c442290	GET,	undefined	/css/style.css
17/12/2023	10:32:16	3bdccc43-69f5-45f0-846e-59c8efff2291	GET,	undefined	/new-page
17/12/2023	10:32:16	d3836cea-64e5-4bea-95dc-dca75c72c4fa	GET,	undefined	/css/style.css
17/12/2023	10:32:17	0bf02edc-d41d-4a8c-8161-92e9457dd1c8	GET,	undefined	/new-page
17/12/2023	10:32:17	6ac280ca-07b8-4312-8677-681b3c62dfb8	GET,	undefined	/css/style.css
17/12/2023	10:32:17	af1d5ad0-27c9-4940-a5c4-584761122d0a	GET,	undefined	/new-page
17/12/2023	10:32:17	a3c5893c-cc24-4a48-8262-4f7d34c858bb	GET,	undefined	/css/style.css
17/12/2023	10:32:17	0b0042b8-0a83-4c80-98b4-668371cd8673	GET,	undefined	/new-page
17/12/2023	10:32:17	a4d76bcd-ca56-4d43-8793-05cc57b275ca	GET,	undefined	/css/style.css
17/12/2023	10:32:18	30cd6482-c014-4ba7-80f6-28dfbc587725	GET,	undefined	/new-page
17/12/2023	10:32:18	26b5941e-b27c-4803-8674-7b40739623ce	GET,	undefined	/css/style.css
17/12/2023	10:32:54	72cc4ae1-389e-4417-9e33-5a15dc107b32	GET,	undefined	/subdir/test
17/12/2023	10:33:03	b91dcc07-9824-4d78-8b6c-df4cbb139d9a	GET,	undefined	/404+
17/12/2023	10:33:03	079e02a6-9f86-4a12-80ec-73a20fed9f32	GET,	undefined	/css/style.css
17/12/2023	10:33:08	74b981e6-643e-4fcb-baab-c9fe1c3fac13	GET,	undefined	/new-page.html
17/12/2023	10:33:08	a446b68e-e1f6-42e3-9f14-ccff8572d4b0	GET,	undefined	/css/style.css
17/12/2023	10:33:58	ff4ef227-5394-4a4a-8458-6521eed4f78d	GET,	undefined	/new-page.html
17/12/2023	10:33:58	c689c41f-e02c-4433-8d08-42dd75d2ec81	GET,	undefined	/css/style.css
17/12/2023	10:33:59	0cd64c11-bdfb-47ee-b8c9-fd86aea9262f	GET,	undefined	/img/img1.jpg
17/12/2023	10:34:12	b5c2edaf-c546-41d9-88f3-a6f99816e9a5	GET,	undefined	/new-page.html
17/12/2023	10:34:12	080f3f66-a169-4787-8144-13e748c2402e	GET,	undefined	/css/style.css
17/12/2023	10:34:12	46ad7c61-7f9c-4bbb-9708-998776f722e8	GET,	undefined	/img/img1.jpg
17/12/2023	10:34:15	370c25d5-3042-40a8-905d-0cfe668fc331	GET,	undefined	/index
17/12/2023	10:34:15	5465efa6-16ae-41a1-a4b6-26a349e7443a	GET,	undefined	/css/style.css
17/12/2023	10:34:19	fb022850-02af-46a8-b94a-1865a0e8cc25	GET,	undefined	/index/new-page
17/12/2023	10:34:19	fa2b8601-3167-496b-96f7-f17dd6656067	GET,	undefined	/css/style.css
17/12/2023	10:34:19	d585cebe-92a1-4a63-881d-b0ee43d5a8d8	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:34:58	9f349867-5729-4fbe-bfd0-63517ec86ecc	GET,	undefined	/index/new-page
17/12/2023	10:34:58	ce4a8693-8653-40a5-99f8-92a751082ca8	GET,	undefined	/css/style.css
17/12/2023	10:34:58	7cb13ce0-e223-46c4-af08-a3827bf52188	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:34:59	8894d441-d9ef-4004-b402-7c7cab18d864	GET,	undefined	/index/new-page
17/12/2023	10:34:59	35ba5033-55f4-4a75-a7e9-edcf2390f4ae	GET,	undefined	/css/style.css
17/12/2023	10:34:59	9625ae70-5468-4908-a0e0-165da7e09086	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:34:59	396c6afb-8e2f-457e-9ccb-d406b4097172	GET,	undefined	/index/new-page
17/12/2023	10:34:59	cdebb70e-f4f0-4cd7-819a-6f317abd9641	GET,	undefined	/css/style.css
17/12/2023	10:34:59	599cc2e1-604d-457b-b968-f89b5d0e2479	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:34:59	6d7a39af-325c-461d-98bb-c651617a6c1e	GET,	undefined	/index/new-page
17/12/2023	10:34:59	56861169-df22-469d-9731-681f188367f1	GET,	undefined	/css/style.css
17/12/2023	10:34:59	e27eb23d-0711-4145-8b1a-e9fbfa1730e0	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:35:16	e87e3693-c911-409b-9a1c-8a7284715a02	GET,	undefined	/index/new-page
17/12/2023	10:35:16	f1ec8d28-7b38-49f0-8a42-03454032ba11	GET,	undefined	/css/style.css
17/12/2023	10:35:16	072b9845-add5-4cf2-a39c-09935bb90d98	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:35:24	02b5d7ea-48de-42d8-9170-483c36485bf1	GET,	undefined	/index/new-page
17/12/2023	10:35:24	2f1f9309-195e-460f-a1fd-e7a3c182c2e5	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:35:24	15162f94-a850-4a5e-a610-53be3faa1d56	GET,	undefined	/css/style.css
17/12/2023	10:35:25	44e8d5de-4eab-40b0-8d4c-428c1477f5b7	GET,	undefined	/index/new-page
17/12/2023	10:35:25	e2294b4d-44f3-4e8c-9059-3cbb6a32d210	GET,	undefined	/css/style.css
17/12/2023	10:35:25	f55d390c-d41e-434f-9dfa-42af39f3895f	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:35:25	89ed79b6-14a6-4016-b21d-f02ae4f07da6	GET,	undefined	/index/new-page
17/12/2023	10:35:25	53bf9626-71a7-49c9-9cfb-ab8dc7f0106f	GET,	undefined	/css/style.css
17/12/2023	10:35:25	605f7c85-3798-4bdc-8b75-d8b18dcda6e8	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:57:23	76e94a83-30c8-4f4a-be47-2bd14445493a	GET,	undefined	/index/new-page
17/12/2023	10:57:23	f5f668c8-9903-43e2-9119-41a90c07ce32	GET,	undefined	/index/img/img1.jpg
17/12/2023	10:57:23	1413db11-5b3b-4196-942b-48b5a2b9fab3	GET,	undefined	/css/style.css
17/12/2023	11:00:21	07792fc9-0b99-4f6b-aa9d-da5e3c26ce62	GET,	undefined	/employees
17/12/2023	11:01:03	e1f37e25-fe55-46f6-9413-e56ab3c64754	GET,	undefined	/
17/12/2023	11:01:21	6056313f-be75-4d9a-b4c5-b9fdf665183f	GET,	undefined	/employees
17/12/2023	11:02:38	e1240857-d4c7-4803-91ec-bd7fd4d74b2f	POST,	undefined	/employees
17/12/2023	11:02:52	a0c2be59-2648-4d41-9bfe-7049d31bc08d	PUT,	undefined	/employees
17/12/2023	11:03:06	8e6e92e5-af0c-4824-851d-c90c46d62aa9	PUT,	undefined	/employees
17/12/2023	11:03:09	30613920-ffbd-4474-9c20-e42cd5c86ac2	POST,	undefined	/employees
17/12/2023	11:03:12	9d261e2f-70a9-487d-b769-2e6c3e2d44d6	DELETE,	undefined	/employees
17/12/2023	11:03:59	66fdb1a5-d848-40bc-ac0a-94d14f4f1922	POST,	undefined	/employees
17/12/2023	11:04:12	9a6b8ecd-1f1d-4508-b733-b5a0a4f94f98	POST,	undefined	/employees
17/12/2023	11:05:49	3ef84f7a-4c20-49bc-90b2-2f84f16b3dc7	POST,	undefined	/employees
17/12/2023	11:06:50	7210241a-5bc2-43b8-b8dc-01f295cd37ae	PUT,	undefined	/employees
17/12/2023	11:07:21	be5c2fe9-2b1e-4f99-836c-ec4fbd6bd1dd	DELETE,	undefined	/employees
17/12/2023	11:07:46	8865764f-4dee-4256-a51c-a2c75c7018fe	GET,	undefined	/employees/1
